origem,destino,relacao
0,1,SEGUE
0,2,SEGUE
0,3,SEGUE
0,4,SEGUE
0,5,SEGUE
0,6,SEGUE
0,7,SEGUE
0,8,SEGUE
0,9,SEGUE
0,11,SEGUE
0,13,SEGUE
0,14,SEGUE
0,17,SEGUE
0,18,SEGUE
0,19,SEGUE
0,23,SEGUE
0,24,SEGUE
0,26,SEGUE
0,29,SEGUE
0,32,SEGUE
0,34,SEGUE
0,36,SEGUE
0,39,SEGUE
0,40,SEGUE
0,41,SEGUE
0,46,SEGUE
0,56,SEGUE
0,57,SEGUE
0,60,SEGUE
0,61,SEGUE
0,62,SEGUE
0,66,SEGUE
0,70,SEGUE
0,73,SEGUE
0,75,SEGUE
0,79,SEGUE
0,80,SEGUE
0,84,SEGUE
0,93,SEGUE
0,96,SEGUE
0,98,SEGUE
0,102,SEGUE
0,103,SEGUE
0,105,SEGUE
0,114,SEGUE
0,123,SEGUE
0,134,SEGUE
0,146,SEGUE
0,153,SEGUE
0,155,SEGUE
0,157,SEGUE
0,170,SEGUE
0,171,SEGUE
0,174,SEGUE
0,192,SEGUE
0,199,SEGUE
0,207,SEGUE
0,209,SEGUE
0,213,SEGUE
0,216,SEGUE
0,219,SEGUE
0,233,SEGUE
0,243,SEGUE
0,268,SEGUE
0,280,SEGUE
0,288,SEGUE
0,293,SEGUE
0,317,SEGUE
0,340,SEGUE
0,359,SEGUE
0,370,SEGUE
0,371,SEGUE
0,384,SEGUE
0,388,SEGUE
0,392,SEGUE
0,420,SEGUE
0,429,SEGUE
0,456,SEGUE
0,472,SEGUE
0,531,SEGUE
0,555,SEGUE
0,565,SEGUE
0,602,SEGUE
0,618,SEGUE
0,626,SEGUE
0,633,SEGUE
0,638,SEGUE
0,641,SEGUE
0,665,SEGUE
0,673,SEGUE
0,685,SEGUE
0,707,SEGUE
0,727,SEGUE
0,744,SEGUE
0,751,SEGUE
0,777,SEGUE
0,782,SEGUE
0,786,SEGUE
0,817,SEGUE
0,839,SEGUE
0,841,SEGUE
0,845,SEGUE
0,884,SEGUE
0,885,SEGUE
0,891,SEGUE
0,895,SEGUE
0,911,SEGUE
0,922,SEGUE
0,943,SEGUE
0,944,SEGUE
0,948,SEGUE
0,955,SEGUE
0,961,SEGUE
0,987,SEGUE
0,1003,SEGUE
0,1017,SEGUE
0,1049,SEGUE
0,1094,SEGUE
0,1096,SEGUE
0,1125,SEGUE
0,1166,SEGUE
0,1177,SEGUE
0,1191,SEGUE
0,1207,SEGUE
0,1210,SEGUE
